A1100a,A1100b,A1100c,D1100a,D1100b,D1100c
-7.2254443,-7.2254443,-7.2254443,5.8814454,5.9056087,5.6945367
0,0,0,0,0,0
0,0,0,0,0,0
-6.6132812,-6.6132812,-6.6132812,-6.6132812,-6.6132812,-6.6132812
0,0,0,12.653516,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.644646,13.43632,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,12.718319,0,12.158295
14.408927,14.380731,14.541944,0,0,0
-13.409853,-13.409853,-13.409853,-0.5089855,-13.409853,-13.409853
14.848475,14.792688,14.669051,12.129283,11.979068,0
0,0,0,0,0,0
16.844057,16.925009,16.93712,0,0,13.830317
0,0,0,0,0,0
14.999647,15.002814,15.062974,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,14.97033,14.995414,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.979515,14.092839,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.096797,0,0,0,0,0
0,0,0,0,0,0
13.854382,0,14.400012,0,0,0
4.4185715,4.3830338,4.3753357,-12.3305,-12.3305,-12.3305
0,0,0,0,0,0
0,0,12.98513,0,0,0
0,0,0,0,0,0
0,16.032864,16.295141,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.722487,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.197985,0,0,0,0,0
14.664225,14.7882595,14.745463,0,0,0
15.748638,15.623081,0,17.918158,17.789787,17.824951
13.770147,13.881209,13.726431,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.805316,15.566678,15.752511,0,14.317624,0
0,14.455456,14.380664,0,0,0
15.995701,15.986953,16.034779,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.196448,14.635322,14.476683,0,0,0
14.637644,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,13.951831,14.074559,14.066846
0,14.027128,13.988862,0,0,0
0,0,0,0,0,0
0,0,15.4647045,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.73957,13.683324,13.785963,0,0,0
14.544601,0,0,0,0,0
16.683405,16.641178,16.601175,14.18022,14.034799,14.107953
0,0,0,0,0,0
13.034455,0,0,0,0,0
17.184294,17.180006,17.162193,0,0,13.990991
13.483312,13.347206,13.057992,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.161131,13.519882,13.936822,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,15.322246,0,0
13.5168085,13.241089,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
16.260588,16.295374,16.208347,0,0,0
13.371777,0,0,0,0,0
17.61835,17.611723,17.601582,16.151373,16.16977,16.112541
0,0,0,0,0,0
16.113743,16.054201,15.998899,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.981211,12.993646,12.998942,0,0,0
0,0,15.807757,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.705956,15.700087,15.726937,0,0,0
0,0,0,0,0,0
13.842055,13.909049,0,0,0,0
0,0,0,0,0,0
0,14.823617,0,0,0,0
0,0,0,0,0,0
14.835951,14.6817875,14.557942,0,0,0
14.164042,14.644195,0,0,0,0
-7.715684,-7.715684,-7.715684,-7.715684,-7.715684,-7.715684
0,0,0,0,0,0
17.07365,16.978655,0,14.619647,14.650379,14.507547
0,0,0,0,0,0
0,0,0,0,0,0
-8.625713,-8.625713,-8.625713,-8.625713,-8.625713,-8.625713
0,0,0,0,0,0
-6.0797777,-6.0797777,-6.0797777,-6.0797777,-6.0797777,-6.0797777
